pkid,layers,method,backend,shots,ARG,in_constraints_probs,best_solution_probs,iteration_count
1,1,commute,FakeBrisbane,256,949.47265625,2.34375,1.171875,17
1,1,commute,FakeBrisbane,256,979.14453125,1.953125,1.171875,21
1,1,commute,FakeBrisbane,256,904.1484375,1.953125,1.953125,22
1,1,commute,FakeBrisbane,256,960.447265625,4.6875,3.515625,19
1,1,commute,FakeBrisbane,256,913.51953125,3.125,1.171875,22
2,1,commute,FakeBrisbane,256,54.502864583333334,14.453125,0.78125,22
2,1,commute,FakeBrisbane,256,61.72864583333333,11.328125,0,20
2,1,commute,FakeBrisbane,256,52.59446022727273,18.359375,10.15625,24
2,1,commute,FakeBrisbane,256,57.10884232954545,13.28125,9.765625,29
2,1,commute,FakeBrisbane,256,57.5987338362069,15.625,10.15625,25
2,1,commute,FakeBrisbane,256,43.61328125,18.75,4.6875,25
0,1,commute,FakeBrisbane,1024,24.150165264423077,58.30078125,46.6796875,34
0,1,commute,FakeBrisbane,1024,24.263521634615383,60.7421875,47.4609375,24
0,1,commute,FakeBrisbane,1024,18.274739583333332,63.28125,13.18359375,26
0,1,commute,FakeBrisbane,1024,20.536458333333332,60.83984375,12.59765625,29
0,1,commute,FakeBrisbane,1024,29.4443359375,60.64453125,46.58203125,31
0,1,commute,FakeBrisbane,1024,28.721875,58.203125,47.8515625,27
1,1,commute,FakeBrisbane,1024,882.64208984375,3.80859375,2.5390625,24
1,1,commute,FakeBrisbane,1024,888.1083984375,3.3203125,2.63671875,21
1,1,commute,FakeBrisbane,1024,925.822265625,3.125,2.24609375,20
1,1,commute,FakeBrisbane,1024,918.388671875,3.41796875,3.02734375,28
1,1,commute,FakeBrisbane,1024,961.78662109375,3.61328125,2.34375,28
1,1,commute,FakeBrisbane,1024,946.181640625,3.61328125,2.44140625,30
2,1,commute,FakeBrisbane,1024,44.12607421875,16.40625,8.49609375,31
2,1,commute,FakeBrisbane,1024,39.83450520833333,18.65234375,9.765625,33
2,1,commute,FakeBrisbane,1024,54.28617720170455,14.6484375,9.47265625,26
2,1,commute,FakeBrisbane,1024,52.67271839488637,15.0390625,9.375,35
2,1,commute,FakeBrisbane,1024,56.22615840517241,13.28125,10.05859375,26
2,1,commute,FakeBrisbane,1024,55.02337015086207,13.4765625,8.49609375,28
0,1,commute,FakeBrisbane,4096,23.194429837740383,59.228515625,46.1181640625,33
0,1,commute,FakeBrisbane,4096,21.87396709735577,59.716796875,46.826171875,39
0,1,commute,FakeBrisbane,4096,18.425309244791666,60.9375,12.0849609375,35
0,1,commute,FakeBrisbane,4096,19.677262369791666,60.205078125,12.353515625,32
0,1,commute,FakeBrisbane,4096,30.01484375,58.88671875,46.3623046875,29
0,1,commute,FakeBrisbane,4096,31.94794921875,57.5927734375,45.9716796875,35
1,1,commute,FakeBrisbane,4096,858.7823486328125,3.5400390625,2.1484375,32
1,1,commute,FakeBrisbane,4096,910.59375,3.3935546875,2.1240234375,28
1,1,commute,FakeBrisbane,4096,918.59814453125,4.2724609375,3.759765625,23
1,1,commute,FakeBrisbane,4096,878.5411376953125,3.955078125,3.2958984375,25
1,1,commute,FakeBrisbane,4096,955.2637939453125,2.9296875,1.4404296875,30
1,1,commute,FakeBrisbane,4096,955.8988037109375,3.076171875,2.1240234375,30
2,1,commute,FakeBrisbane,4096,41.86717936197917,17.333984375,10.3515625,32
2,1,commute,FakeBrisbane,4096,43.642024739583334,17.529296875,9.521484375,27
2,1,commute,FakeBrisbane,4096,56.36789772727273,14.0869140625,9.619140625,31
2,1,commute,FakeBrisbane,4096,55.80856045809659,14.990234375,8.7890625,32
2,1,commute,FakeBrisbane,4096,56.9813442887931,13.76953125,8.9599609375,27
2,1,commute,FakeBrisbane,4096,61.315598060344826,12.6220703125,8.203125,33
